"Async and Await are great, but they don't fit seamlessly with MVVM. This is the first in a series of articles that will explore using async within an MVVM application. This article covers how to use tasks with data binding, essentially creating an "asynchronous property."Stephen ClearyMSDN Magazine March 2014",Java
"New features in .NET 4.5 that make it much easier to work with an effective alternative to Windows Communication Foundation called async socket programming. James McCaffrey shows how async socket programming works.James McCaffreyMSDN Magazine March 2014",Java
"Long Le shows how traditional ASP.NET MVC developers focused on the server side can seamlessly transition to building client-side, single-page applications.Long LeMSDN Magazine March 2014",Java
"Donn Morse builds a HID-based temperature sensor for the WinRT API that connects to a Windows 8.1 tablet or laptop, and creates an app that can take the sensor data and display the current temperature.Donn MorseMSDN Magazine March 2014",Java
"The Calvin and Hobbes comic strip offers surprising wisdom for software developers, from the elegant genius of the Transmogrifier to the convoluted security around the clubhouse tree fort.Michael DesmondMSDN Magazine March 2014",Java
"Dino Esposito explores the basics of ASP.NET authentication and the new ASP.NET Identity system from the perspective of the ASP.NET MVC 5 developer.Dino EspositoMSDN Magazine March 2014",Java
"Walk through a proof-of-concept solution to see how a Service Bus queue provides an elegant way to incorporate resiliency and occasional connectivity for IoT applications.Bruno Terkaly, Ricardo VillalobosMSDN Magazine March 2014",Java
"Ted Neward wraps up his four-part examination of the Oak framework’s dynamic approach to Web development by diving into data validation and explaining why Oak is going into his personal toolbox.Ted NewardMSDN Magazine March 2014",Java
"Rachel Appel looks at how the Hub project template in Visual Studio works with the Hub control to help you code HTML and XAML Windows Store apps that showcase large amounts of data in an aesthetically pleasing, functional and modern layout.Rachel AppelMSDN Magazine March 2014",Java
"Though triangles are far less integral to 2D graphics programming than to 3D, Charles Petzold explores some interesting effects created with tessellated triangles in two dimensions.Charles PetzoldMSDN Magazine March 2014",Java
"When Avon field reps revolted against the company's new order management software, it sent a stark message. In the age of iPads, companies can no longer afford to foist bad software on their users.David PlattMSDN Magazine March 2014",Java
"As Build event is around the corner, I want to take this opportunity to remind you that you can follow the event live. The event will be live streamed at www.buildwindows.com and http://channel9.msdn.com/  For those that don’t know Build, this is the major event that Microsoft is celebrating for and with Developers Worldwide, an event where you can find out what’s new in Windows, Windows Phone, Azure, and other technologies. An event plenty of 100, 200, 300 and 400 level sessions where you can develop your skills and improve as a developer. Developers can create new experiences to reach hundreds of millions of devices on people's desks, in their pockets and in their living rooms. Customers are only a click away. Join us at Build for an unprecedented learning opportunity for developers building on the Microsoft platform. You can follow also previous events from here: http://channel9.msdn.com/Events/Build Don’t miss this opportunity and have an excuse to don’t go to work next Wednesday ;)    - May the code be with you -",Java
