"Eric Schmidt explores fundamental concepts of the Windows Library for JavaScript (WinJS), including promises, asynchronous debugging and error handling. He also demonstrates a new tool in Visual Studio 2013 for tracking down errors in asynchronous promise chains in JavaScript.Eric SchmidtMSDN Magazine January 2014",Microsoft Technologies
"Whether you’re part of a team or a team of one, with Visual Studio Online you can easily create and monitor seriously demanding applications, from anywhere.Ed BlankenshipMSDN Magazine January 2014",Microsoft Technologies
Learn how to host Windows Presentation Foundation plug-ins in separate processes to improve robustness and increase flexibility.Ivan KrivyakovMSDN Magazine January 2014,Microsoft Technologies
"Chronicling America provides a straightforward API that enables access to historical newspapers for apps used in research, education and family histories.Tim KulpMSDN Magazine January 2014",Microsoft Technologies
"Learn useful techniques to help you troubleshoot any application or system running under IIS, no matter what platform it’s coded on.Eduardo SanabriaMSDN Magazine January 2014",Microsoft Technologies
Much time can be wasted testing complex OLAP Cubes only to find they weren't created correctly. Mark Nadelson draws on his real-world experience to show how to unit test Cubes to ensure they were built the right way.Mark NadelsonMSDN Magazine January 2014,Microsoft Technologies
"This month Eric Schmidt explores error handling in the Windows Library for JavaScript, also known as WinJS.Michael DesmondMSDN Magazine January 2014",Microsoft Technologies
Regular expression grammar can humble the most seasoned developer. Kenny Kerr shows how modern C++ lets you produce elegant and efficient abstractions to make the job easier.Kenny KerrMSDN Magazine January 2014,Microsoft Technologies
Julie Lerman rounds out her coverage of Entity Framework 6 with a discussion of new Code First features relating to mappings and migrations.Julie LermanMSDN Magazine January 2014,Microsoft Technologies
Extracting frequently occurring item-sets from a list of transactions is a surprisingly tricky but useful task. This article explains the Apriori algorithm and presents a complete demo program.James McCaffreyMSDN Magazine January 2014,Microsoft Technologies
"Digging deeper into the workings of the Oak dynamic Web development framework, Ted Neward shows how to wire up a SQL Server instance, build a database, add a related type and more.Ted NewardMSDN Magazine January 2014",Microsoft Technologies
The folk tale of John Henry describes a man who hammered steel drill rods into rock to make holes for blasting railroad tunnels. He died working to best a steam-powered drill. Does a similar fate await old developers unwilling to embrace increasing abstraction?David PlattMSDN Magazine January 2014,Microsoft Technologies
